Request time;Update time;Time;Min/max temperature, deg. C;Pressure, mmHg;Wind speed, m/s;Wind direction;Precipitation, mm;Probability of precipitation, pct;Conditions
;;2022-03-06 02:00:00;-8;728;2;С-В;5.6;75;Облачно, снег
;;2022-03-06 14:00:00;-4;733;3;С-З;1;75;Облачно, небольшой снег
;;2022-03-07 02:00:00;-19;740;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-9;744;2;С-З;0.1;73;Облачно, небольшой кратковременный снег
2022-03-01 20:22:50;в 10:31 МСК;2022-03-01 14:00:00;1;751;4;З;0.1;73;Переменная облачность, небольшие кратковременные осадки
;;2022-03-02 02:00:00;-10;754;3;З;0;-;Облачно с прояснениями, без осадков
;;2022-03-02 14:00:00;2;752;4;Ю-З;0;-;Облачно, без осадков
;;2022-03-03 02:00:00;-9;750;4;З;0;-;Облачно, без осадков
;;2022-03-03 14:00:00;1;748;3;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-9;746;4;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;1;744;3;З;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-7;740;0;С-В;0;-;Облачно, без осадков
;;2022-03-05 14:00:00;0;737;3;С-В;0.3;83;Облачно, временами небольшие осадки
;;2022-03-06 02:00:00;-13;737;6;С;0.4;79;Облачно, небольшой снег
;;2022-03-06 14:00:00;-10;740;6;С;0.4;70;Облачно, небольшой снег
;;2022-03-07 02:00:00;-21;746;5;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;751;5;С;0;-;Облачно с прояснениями, без осадков
2022-03-02 05:41:31;в 18:15 МСК;2022-03-02 14:00:00;2;752;4;Ю-З;0;-;Облачно, без осадков
;;2022-03-03 02:00:00;-9;749;4;З;0;-;Облачно, без осадков
;;2022-03-03 14:00:00;1;748;3;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-9;746;4;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;1;743;3;З;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-7;739;0;С-В;0;-;Облачно, без осадков
;;2022-03-05 14:00:00;0;737;3;С-В;0.3;83;Облачно, временами небольшие осадки
;;2022-03-06 02:00:00;-13;737;6;С;0.4;79;Облачно, небольшой снег
;;2022-03-06 14:00:00;-10;740;6;С;0.4;70;Облачно, небольшой снег
;;2022-03-07 02:00:00;-21;746;5;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;751;5;С;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 02:00:00;-23;753;1;Ю-З;0;-;Облачно, без осадков
;;2022-03-08 14:00:00;-12;756;1;С;0.5;68;Облачно, временами небольшой снег
2022-03-02 19:58:03;в 10:29 МСК;2022-03-02 14:00:00;2;752;4;Ю-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-03 02:00:00;-7;749;4;З;0;-;Облачно, без осадков
;;2022-03-03 14:00:00;1;747;3;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-9;745;3;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;-1;745;2;З;0.1;71;Облачно, небольшой кратковременный снег
;;2022-03-05 02:00:00;-10;743;2;Ю-В;2.7;62;Облачно, временами снег
;;2022-03-05 14:00:00;-2;735;3;В;10;87;Облачно, снег
;;2022-03-06 02:00:00;-16;728;5;С;6.9;83;Облачно, снег
;;2022-03-06 14:00:00;-13;732;6;С;1.3;83;Облачно, снег
;;2022-03-07 02:00:00;-22;738;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;744;3;С-З;0;-;Облачно, без осадков
;;2022-03-08 02:00:00;-23;750;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 14:00:00;-14;754;2;С-З;0;-;Облачно с прояснениями, без осадков
2022-03-03 05:39:15;в 18:16 МСК;2022-03-03 14:00:00;1;746;3;Ю-З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-9;744;3;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;-2;745;2;З;0.1;71;Облачно, небольшой кратковременный снег
;;2022-03-05 02:00:00;-10;742;2;Ю-В;2.7;62;Облачно, временами снег
;;2022-03-05 14:00:00;-2;734;3;В;10;87;Облачно, снег
;;2022-03-06 02:00:00;-16;728;5;С;6.9;83;Облачно, снег
;;2022-03-06 14:00:00;-12;732;6;С;1.3;83;Облачно, снег
;;2022-03-07 02:00:00;-22;738;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;743;3;С-З;0;-;Облачно, без осадков
;;2022-03-08 02:00:00;-23;749;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 14:00:00;-14;753;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-09 02:00:00;-22;756;1;З;0;-;Облачно, без осадков
;;2022-03-09 14:00:00;-12;757;1;С-З;0.2;74;Облачно, без осадков
2022-03-03 17:32:05;в 10:29 МСК;2022-03-03 14:00:00;2;747;3;З;0;-;Облачно, без осадков
;;2022-03-04 02:00:00;-9;744;3;З;0;-;Облачно, без осадков
;;2022-03-04 14:00:00;-1;745;2;З;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-10;742;1;Ю-В;3.4;62;Облачно, временами снег
;;2022-03-05 14:00:00;-2;736;3;С-В;6.5;91;Облачно, снег
;;2022-03-06 02:00:00;-15;730;5;С;5.9;87;Облачно, снег
;;2022-03-06 14:00:00;-11;734;6;С;1.9;87;Облачно, снег
;;2022-03-07 02:00:00;-23;739;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-13;742;3;С-З;0;-;Облачно, без осадков
;;2022-03-08 02:00:00;-23;748;2;С-З;0;-;Облачно, без осадков
;;2022-03-08 14:00:00;-12;751;1;З;0.1;66;Облачно, небольшой кратковременный снег
;;2022-03-09 02:00:00;-22;753;1;С-З;0.4;75;Облачно, небольшой снег
;;2022-03-09 14:00:00;-11;756;1;В;0.8;75;Облачно, небольшой снег
2022-03-04 06:01:23;в 18:16 МСК;2022-03-04 14:00:00;-1;744;2;З;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-10;741;1;Ю-В;3.4;62;Облачно, временами снег
;;2022-03-05 14:00:00;-2;736;3;С-В;6.5;91;Облачно, снег
;;2022-03-06 02:00:00;-15;730;5;С;5.9;87;Облачно, снег
;;2022-03-06 14:00:00;-11;733;6;С;1.9;87;Облачно, снег
;;2022-03-07 02:00:00;-23;738;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-13;742;3;С-З;0;-;Облачно, без осадков
;;2022-03-08 02:00:00;-23;747;2;С-З;0;-;Облачно, без осадков
;;2022-03-08 14:00:00;-12;751;1;З;0.1;66;Облачно, небольшой кратковременный снег
;;2022-03-09 02:00:00;-22;753;1;С-З;0.4;75;Облачно, небольшой снег
;;2022-03-09 14:00:00;-11;755;1;В;0.8;75;Облачно, небольшой снег
;;2022-03-10 02:00:00;-18;758;1;С;0.3;61;Облачно, небольшой снег
;;2022-03-10 14:00:00;-10;760;1;В;0.2;59;Облачно, временами небольшой снег
2022-03-04 19:41:15;в 10:29 МСК;2022-03-04 14:00:00;0;744;2;З;0;-;Облачно, без осадков
;;2022-03-05 02:00:00;-10;742;1;Ю-В;0.8;83;Облачно, временами небольшой снег
;;2022-03-05 14:00:00;-1;736;3;В;1;95;Облачно, снег
;;2022-03-06 02:00:00;-15;730;5;С;6.5;91;Облачно, снег
;;2022-03-06 14:00:00;-12;732;6;С;1.5;91;Облачно, снег
;;2022-03-07 02:00:00;-22;737;4;С-З;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;741;3;С-З;0;-;Облачно, без осадков
;;2022-03-08 02:00:00;-23;745;2;З;0.1;69;Облачно, небольшой кратковременный снег
;;2022-03-08 14:00:00;-11;749;0;Ю-В;0;-;Облачно, без осадков
;;2022-03-09 02:00:00;-22;751;1;В;0.3;79;Облачно, небольшой снег
;;2022-03-09 14:00:00;-10;754;2;С-В;0.6;79;Облачно, небольшой снег
;;2022-03-10 02:00:00;-18;758;2;С-В;0.3;75;Облачно, небольшой снег
;;2022-03-10 14:00:00;-10;762;1;С-В;0;-;Облачно, без осадков
2022-03-05 05:39:16;в 18:15 МСК;2022-03-05 14:00:00;-1;736;3;В;1;95;Облачно, снег
;;2022-03-06 02:00:00;-15;729;5;С;6.5;91;Облачно, снег
;;2022-03-06 14:00:00;-12;732;6;С;1.5;91;Облачно, снег
;;2022-03-07 02:00:00;-22;736;4;С-З;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;741;3;С-З;0;-;Облачно, без осадков
;;2022-03-08 02:00:00;-23;745;2;З;0.1;69;Облачно, небольшой кратковременный снег
;;2022-03-08 14:00:00;-11;749;0;Ю-В;0;-;Облачно, без осадков
;;2022-03-09 02:00:00;-22;751;1;В;0.3;79;Облачно, небольшой снег
;;2022-03-09 14:00:00;-10;754;2;С-В;0.6;79;Облачно, небольшой снег
;;2022-03-10 02:00:00;-18;758;2;С-В;0.3;75;Облачно, небольшой снег
;;2022-03-10 14:00:00;-10;761;1;С-В;0;-;Облачно, без осадков
;;2022-03-11 02:00:00;-20;760;0;Ю-В;0;-;Облачно с прояснениями, без осадков
;;2022-03-11 14:00:00;-7;757;2;Ю;0;-;Облачно, без осадков
2022-03-05 17:32:06;в 10:29 МСК;2022-03-05 14:00:00;-1;736;4;В;5.1;99;Облачно, осадки
;;2022-03-06 02:00:00;-15;728;6;С;7.2;95;Облачно, снег
;;2022-03-06 14:00:00;-12;731;6;С;1.4;95;Облачно, снег
;;2022-03-07 02:00:00;-23;736;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;739;3;С-З;0.1;82;Облачно, небольшой кратковременный снег
;;2022-03-08 02:00:00;-26;744;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 14:00:00;-12;749;1;З;0.1;64;Облачно, небольшой кратковременный снег
;;2022-03-09 02:00:00;-22;752;1;С-В;0.3;83;Облачно, небольшой снег
;;2022-03-09 14:00:00;-10;755;1;В;0.8;83;Переменная облачность, небольшой кратковременный снег
;;2022-03-10 02:00:00;-18;758;2;С-В;0.9;79;Облачно, небольшой снег
;;2022-03-10 14:00:00;-13;762;3;С-В;0;-;Облачно, без осадков
;;2022-03-11 02:00:00;-25;764;3;С;0;-;Облачно, без осадков
;;2022-03-11 14:00:00;-11;762;2;С;0;-;Облачно, без осадков
2022-03-06 05:32:05;в 18:15 МСК;2022-03-06 14:00:00;-12;730;6;С;1.4;95;Облачно, снег
;;2022-03-07 02:00:00;-23;735;4;С;0;-;Облачно, без осадков
;;2022-03-07 14:00:00;-14;739;3;С-З;0.1;82;Облачно, небольшой кратковременный снег
;;2022-03-08 02:00:00;-26;744;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 14:00:00;-12;748;1;З;0.1;64;Облачно, небольшой кратковременный снег
;;2022-03-09 02:00:00;-22;751;1;С-В;0.3;83;Облачно, небольшой снег
;;2022-03-09 14:00:00;-10;754;1;В;0.8;83;Переменная облачность, небольшой кратковременный снег
;;2022-03-10 02:00:00;-18;758;2;С-В;0.9;79;Облачно, небольшой снег
;;2022-03-10 14:00:00;-13;762;3;С-В;0;-;Облачно, без осадков
;;2022-03-11 02:00:00;-25;763;3;С;0;-;Облачно, без осадков
;;2022-03-11 14:00:00;-11;761;2;С;0;-;Облачно, без осадков
;;2022-03-12 02:00:00;-22;758;1;С-В;0.1;68;Облачно, небольшой кратковременный снег
;;2022-03-12 14:00:00;-6;758;2;В;0;-;Небольшая облачность, без осадков
2022-03-06 17:32:06;в 10:29 МСК;2022-03-06 14:00:00;-12;732;6;С;2.4;99;Облачно, снег
;;2022-03-07 02:00:00;-22;737;4;С-З;0.2;64;Облачно, временами небольшой снег
;;2022-03-07 14:00:00;-14;741;4;С-З;0.1;65;Облачно, небольшой кратковременный снег
;;2022-03-08 02:00:00;-26;747;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 14:00:00;-12;750;1;З;0.2;91;Облачно, временами небольшой снег
;;2022-03-09 02:00:00;-28;752;1;З;0.1;61;Облачно, небольшой кратковременный снег
;;2022-03-09 14:00:00;-10;756;1;В;0.4;72;Облачно, небольшой снег
;;2022-03-10 02:00:00;-18;760;2;В;0;-;Облачно, без осадков
;;2022-03-10 14:00:00;-12;762;2;С-В;0;-;Облачно, без осадков
;;2022-03-11 02:00:00;-25;763;1;С-В;0.1;72;Облачно, небольшой кратковременный снег
;;2022-03-11 14:00:00;-11;761;1;В;0;-;Облачно, без осадков
;;2022-03-12 02:00:00;-25;756;1;Ю-В;0;-;Небольшая облачность, без осадков
;;2022-03-12 14:00:00;-8;752;1;Ю;0.1;75;Облачно, небольшой кратковременный снег
2022-03-07 06:58:27;в 18:15 МСК;2022-03-07 14:00:00;-14;741;4;С-З;0.1;65;Облачно, небольшой кратковременный снег
;;2022-03-08 02:00:00;-26;746;2;С-З;0;-;Облачно с прояснениями, без осадков
;;2022-03-08 14:00:00;-12;750;1;З;0.2;91;Облачно, временами небольшой снег
;;2022-03-09 02:00:00;-28;752;1;З;0.1;61;Облачно, небольшой кратковременный снег
;;2022-03-09 14:00:00;-10;755;1;В;0.4;72;Облачно, небольшой снег
;;2022-03-10 02:00:00;-18;759;2;В;0;-;Облачно, без осадков
;;2022-03-10 14:00:00;-12;762;2;С-В;0;-;Облачно, без осадков
;;2022-03-11 02:00:00;-25;762;1;С-В;0.1;72;Облачно, небольшой кратковременный снег
;;2022-03-11 14:00:00;-11;760;1;В;0;-;Облачно, без осадков
;;2022-03-12 02:00:00;-25;756;1;Ю-В;0;-;Небольшая облачность, без осадков
;;2022-03-12 14:00:00;-8;752;1;Ю;0.1;75;Облачно, небольшой кратковременный снег
;;2022-03-13 02:00:00;-13;747;3;Ю-З;1.1;74;Облачно, небольшой снег
;;2022-03-13 14:00:00;-1;746;3;З;0.1;55;Облачно, небольшой кратковременный снег
2022-03-07 17:32:08;в 10:29 МСК;2022-03-07 14:00:00;-14;741;4;С-З;0.2;62;Облачно, временами небольшой снег
;;2022-03-08 02:00:00;-26;747;2;С-З;0;-;Облачно с прояснениями, без осадков
